,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
1365,±è°æÈ£20SLF,54,100,96,14,24,2,1,0,28,8,1,4,2,0,0,15,2,1,1,.250,.263,.292,.554,.254,41.8,-0.54,-1.13
1366,¹ÚÁ¤Çö21ÇÑSS,33,120,107,10,21,4,0,0,25,9,1,0,9,0,0,32,1,3,1,.196,.256,.234,.490,.235,29.3,-0.54,-0.59
1367,Á¤Áø±â18SCF,96,212,201,33,49,8,1,3,68,17,11,3,6,2,0,45,2,3,0,.244,.273,.338,.611,.269,46.6,-0.54,0.26
1368,È£À×20ÇÑRF,34,134,124,12,24,4,0,4,40,14,5,3,9,1,0,34,4,0,0,.194,.254,.323,.576,.265,48.8,-0.54,-0.50
1369,¾çÁ¾¹Î19L3B,18,49,44,1,6,2,0,0,8,5,0,0,2,0,0,15,3,2,1,.136,.170,.182,.352,.160,-17.3,-0.56,-0.76
1370,ÀÌÀç¿ø20SC,78,243,215,17,41,8,0,2,55,21,0,0,18,6,3,24,12,3,1,.191,.271,.256,.527,.246,34.9,-0.57,-1.36
1371,±èµ¿ÇÑ18·Ô3B,55,96,83,11,16,1,0,2,23,9,3,1,9,0,0,18,1,2,2,.193,.266,.277,.543,.244,30.1,-0.57,-0.61
1372,ÀÌµ¿ÈÆ20ÇÑCF,37,39,38,5,4,0,0,0,4,1,0,0,0,1,0,14,0,0,0,.105,.128,.105,.234,.116,-48.2,-0.58,-0.58
1373,°­¹Î±¹20K2B,79,116,103,15,22,3,0,0,25,7,0,1,7,0,0,20,0,6,0,.214,.264,.243,.506,.232,24.5,-0.58,-0.37
1374,¿ÀÁØÇõ18KKLF,30,50,44,6,6,0,0,0,6,2,1,1,3,1,0,11,1,1,1,.136,.204,.136,.340,.169,-19.3,-0.59,-0.63
1375,ÇãÀÏ20·ÔRF,60,95,84,5,15,4,0,1,22,6,0,0,8,1,0,29,4,2,0,.179,.258,.262,.520,.244,32.7,-0.59,-0.46
1376,Á¤»óÈ£20µÎC,40,90,84,3,14,6,0,0,20,8,0,0,2,0,0,29,4,3,1,.167,.184,.238,.422,.186,-2.2,-0.63,-1.24
1377,±è±Ô¹Î20Å°LF,52,108,99,12,20,2,1,1,27,6,1,0,4,1,0,23,3,3,1,.202,.238,.273,.511,.231,26.4,-0.63,-1.18
1378,Á¶È«¼®19·ÔRF,42,66,61,8,7,2,1,0,11,5,1,0,4,0,0,14,1,0,1,.115,.167,.180,.347,.166,-13.0,-0.64,-0.63
1379,Áö¼®ÈÆ18NSS,67,105,94,9,17,2,0,1,22,8,1,0,8,0,0,20,2,0,3,.181,.238,.234,.472,.219,15.1,-0.64,-0.10
1380,ÀÌ»óÈ£20N2B,80,63,59,18,8,1,0,0,9,4,6,4,3,0,0,5,2,1,0,.136,.177,.153,.330,.160,-21.2,-0.65,-0.58
1381,Á¤¹ü¸ð18NC,103,219,190,20,34,9,0,4,55,18,1,0,15,4,0,62,4,7,3,.179,.250,.289,.540,.237,26.1,-0.65,-1.49
1382,ÃÖ¿øÁØ19K3B,90,255,232,33,46,11,3,1,66,18,8,4,16,4,0,51,4,2,1,.198,.261,.284,.545,.256,46.6,-0.65,-1.60
1383,ÇãµµÈ¯19SC,56,93,79,3,10,3,0,1,16,6,0,1,5,3,0,18,3,4,2,.127,.202,.203,.405,.189,0.9,-0.65,-0.53
1384,ÆÈÄ«20»ïDH,51,217,196,17,41,7,0,8,72,23,2,0,18,0,0,58,5,0,3,.209,.272,.367,.639,.288,59.6,-0.67,-0.64
