,¼±¼ö,G,Å¸¼®,Å¸¼ö,µæÁ¡,¾ÈÅ¸,2Å¸,3Å¸,È¨·±,·çÅ¸,Å¸Á¡,µµ·ç,µµ½Ç,º¼³Ý,»ç±¸,°í4,»ïÁø,º´»ì,ÈñÅ¸,Èñºñ,Å¸À²,Ãâ·ç,ÀåÅ¸,OPS,wOBA,wRC+,WAR+,WPA
163,ÀÌ¹üÈ£18K3B,101,380,332,41,93,7,0,20,160,69,1,0,42,4,4,59,12,0,2,.280,.366,.482,.848,.365,112.5,2.23,1.03
164,¹Ú°æ¼ö19K2B,136,489,420,43,104,24,0,10,158,65,0,1,55,4,1,102,14,4,6,.248,.336,.376,.712,.329,98.4,2.21,0.30
165,ÀÌ¿ë±Ô20ÇÑCF,119,482,415,58,119,14,2,1,140,32,17,8,58,6,0,36,9,2,1,.287,.381,.337,.719,.345,103.1,2.20,1.04
166,Àå¼º¿ì20KC,128,449,396,38,110,15,0,13,164,77,0,0,37,0,0,63,15,10,6,.278,.335,.414,.749,.332,91.5,2.18,0.48
167,¼­°ÇÃ¢20Å°DH,133,585,476,77,132,28,5,5,185,51,23,10,90,4,1,58,8,5,10,.277,.390,.389,.778,.361,112.2,2.17,1.02
168,ÃÖÁÖÈ¯21S2B,79,305,264,35,72,10,0,15,127,51,2,0,32,8,4,49,4,0,1,.273,.367,.481,.848,.384,124.7,2.14,0.30
169,ÀÓº´¿í18³ØCF,134,447,423,76,124,29,3,13,198,60,16,3,22,0,1,119,6,0,2,.293,.327,.468,.795,.342,96.3,2.14,0.70
170,±èµ¿¿±20»ïDH,114,447,409,60,127,20,0,20,207,73,4,4,29,4,0,79,14,1,4,.311,.359,.506,.865,.383,121.8,2.13,1.55
171,ÇÑÀ¯¼¶19SRF,125,502,427,52,113,20,0,12,169,52,0,1,55,20,4,100,6,0,0,.265,.375,.396,.770,.361,116.9,2.11,0.83
172,ÃÖ¿øÁØ21KRF,99,466,414,55,122,17,6,4,163,34,25,8,40,5,0,46,5,4,3,.295,.362,.394,.755,.354,106.9,2.11,0.98
173,±è¼±ºó18KSS,127,492,424,73,125,17,2,4,158,49,4,1,48,9,1,42,10,6,5,.295,.375,.373,.747,.339,94.5,2.10,1.23
174,°­¹éÈ£18KLF,138,585,527,108,153,32,2,29,276,84,3,5,52,3,0,124,4,0,3,.290,.356,.524,.879,.375,115.3,2.10,2.81
175,ÇÑÀ¯¼¶21SRF,100,384,330,48,85,13,0,22,164,68,0,0,39,10,3,78,8,1,4,.258,.350,.497,.847,.379,120.2,2.09,0.78
176,Ã¤Àº¼º20LRF,109,464,416,59,122,17,2,15,188,88,0,3,32,9,1,69,12,0,7,.293,.351,.452,.803,.361,116.8,2.08,-0.14
177,±ÇÈñµ¿20NRF,121,418,338,67,89,16,0,12,141,50,3,0,58,11,0,70,5,6,5,.263,.384,.417,.801,.365,111.7,2.08,1.84
178,Á¤Àº¿ø19ÇÑ2B,142,624,564,83,148,27,6,8,211,57,14,7,48,0,0,101,6,6,6,.262,.317,.374,.691,.317,91.8,2.06,0.05
179,Á¤¼öºó19µÎCF,123,513,441,75,117,19,5,0,146,42,26,8,57,6,0,60,6,4,5,.265,.354,.331,.685,.325,94.8,2.05,0.15
180,¸ðÃ¢¹Î19N1B,101,386,341,49,104,21,2,10,159,55,3,2,31,3,1,62,8,0,11,.305,.358,.466,.824,.371,124.4,2.04,0.47
181,¾ÈÄ¡È«20·Ô2B,124,460,412,49,118,28,0,8,170,54,14,3,35,7,2,47,11,4,2,.286,.351,.413,.764,.346,99.0,2.02,-0.20
182,±èÇå°ï18»ïLF,141,586,513,77,154,26,2,11,217,71,22,9,54,10,1,70,13,5,4,.300,.375,.423,.798,.355,103.9,1.99,-0.57
183,±èÀçÈ£20µÎSS,119,452,397,46,115,15,1,2,138,39,6,2,44,4,1,44,17,2,5,.290,.362,.348,.710,.334,95.4,1.98,-0.10
184,ÀÌ¿ø¼®19»ï3B,111,455,395,44,97,20,0,19,174,76,2,1,43,8,0,73,10,2,7,.246,.327,.441,.767,.346,104.8,1.98,0.89
185,°­¹ÎÈ£18»ïC,129,477,427,46,115,14,0,22,195,71,0,0,29,14,5,96,11,0,7,.269,.331,.457,.788,.337,90.2,1.97,-0.83
186,°­Áø¼º20N1B,119,424,387,53,122,25,0,12,183,70,9,1,20,9,0,46,11,2,6,.315,.358,.473,.831,.371,115.4,1.97,0.97
187,ÃÖÀçÈÆ21ÇÑC,89,347,280,29,71,13,0,5,99,29,3,2,51,10,1,53,12,5,1,.254,.386,.354,.740,.355,108.5,1.97,0.16
188,±¸ÀÚ¿í19»ïRF,122,526,475,66,127,27,6,15,211,71,11,3,38,7,2,88,5,0,6,.267,.327,.444,.771,.348,107.6,1.95,1.16
189,½É¿ìÁØ19KSS,138,433,391,54,109,13,1,3,133,28,24,3,23,6,0,68,7,12,1,.279,.328,.340,.668,.307,81.9,1.92,-1.54
190,ÀÌº´±Ô18·ÔDH,103,257,198,31,54,11,1,10,97,39,0,0,50,7,1,58,5,0,2,.273,.432,.490,.922,.406,137.0,1.91,2.36
191,±èÅÂ±Õ19ÇÑDH,127,500,433,47,132,21,0,6,171,62,3,0,54,5,5,94,15,0,8,.305,.382,.395,.777,.360,121.8,1.90,0.40
192,±èÇý¼º19Å°2B,122,387,348,57,96,17,6,0,125,32,20,3,29,2,1,85,4,4,4,.276,.332,.359,.691,.319,88.1,1.90,0.25
193,ÀÌ¼º¿­18ÇÑDH,131,528,485,76,143,21,1,34,268,102,9,7,35,5,3,143,9,1,2,.295,.347,.553,.900,.377,114.2,1.87,3.15
194,Ãß½Å¼ö21SDH,100,407,327,50,79,12,1,15,138,47,17,6,67,10,1,92,8,0,3,.242,.383,.422,.805,.378,121.3,1.87,2.41
195,½Åº»±â18·ÔSS,139,479,425,55,125,28,1,11,188,71,1,5,33,11,2,95,12,5,5,.294,.357,.442,.799,.347,98.4,1.87,0.62
196,½É¿ìÁØ21KSS,102,338,299,52,85,15,2,6,122,40,13,5,23,4,0,46,0,6,5,.284,.338,.408,.746,.340,95.4,1.85,0.71
197,ÀÌ¿ë±Ô18ÇÑCF,134,575,491,82,144,14,1,1,163,36,30,11,59,12,0,62,8,8,5,.293,.379,.332,.711,.331,88.6,1.84,-0.72
198,¹ÚÁØÅÂ20Å°CF,126,439,346,71,85,13,1,5,115,29,5,1,62,19,0,120,4,9,3,.246,.386,.332,.718,.342,101.0,1.83,0.76
199,°­¹ÎÈ£19»ïC,112,393,346,36,81,20,0,13,140,45,0,0,33,9,2,76,9,2,3,.234,.315,.405,.719,.327,92.2,1.83,0.46
200,ÀÌ´ëÈ£19·ÔDH,135,549,485,48,138,23,1,16,211,88,0,0,48,9,4,65,19,0,7,.285,.355,.435,.790,.360,118.3,1.79,0.94
201,ÀÌÇÐÁÖ19»ïSS,118,436,385,43,101,14,3,7,142,36,15,5,32,10,0,89,3,5,4,.262,.332,.369,.701,.324,92.7,1.78,-0.20
202,¹Ú¼¼Çõ20µÎC,122,415,352,46,96,18,2,3,127,49,5,3,35,12,0,44,7,9,7,.273,.352,.361,.713,.327,91.6,1.78,1.13
203,ÇÑµ¿Èñ21·Ô3B,90,343,289,36,72,14,0,11,119,47,0,1,48,3,1,70,14,1,2,.249,.360,.412,.771,.360,108.4,1.77,0.06
204,ÀÌ¿ë±Ô21Å°LF,100,407,339,63,98,11,6,0,121,33,11,2,54,3,2,35,4,6,5,.289,.387,.357,.744,.352,104.2,1.76,0.95
205,ÀÌ¸í±â20NLF,134,534,472,80,146,18,3,2,176,45,12,7,49,4,0,78,6,5,4,.309,.376,.373,.749,.350,102.6,1.75,1.02
206,±è¹Î¼º18³Ø3B,128,465,413,46,117,24,0,10,171,45,1,0,40,6,3,80,6,1,5,.283,.351,.414,.765,.338,93.4,1.75,-0.78
207,±è°­¹Î18SCF,80,267,235,40,70,14,0,14,126,46,10,6,22,5,0,57,1,5,0,.298,.370,.536,.906,.381,119.1,1.71,-0.02
208,±è¼±ºó21K2B,93,411,366,36,104,24,0,3,137,44,0,0,42,0,2,30,11,1,2,.284,.356,.374,.730,.345,100.5,1.71,1.46
209,Çã°æ¹Î21µÎ3B,97,400,370,50,106,23,1,4,143,41,2,4,23,4,1,27,16,1,2,.286,.333,.386,.720,.336,98.4,1.70,-0.23
210,³ëÁøÇõ18N3B,125,458,420,52,119,21,4,11,181,42,4,3,33,2,0,92,8,1,2,.283,.337,.431,.768,.337,95.1,1.70,0.72
211,±èÇå°ï19»ïLF,114,467,411,57,122,20,1,5,159,46,10,8,37,8,1,41,18,5,6,.297,.362,.387,.748,.346,107.6,1.68,-0.37
212,Á¤ÀÇÀ±19SDH,110,419,380,44,107,24,0,13,170,59,0,0,30,6,1,60,9,0,2,.282,.342,.447,.790,.359,115.8,1.68,0.47
213,¿ÀÁöÈ¯21LSS,92,374,323,42,81,13,1,6,114,39,8,4,40,5,0,61,7,3,3,.251,.340,.353,.693,.329,94.7,1.66,0.04
214,±è¹Î¼º19L3B,107,401,361,44,94,16,0,8,134,50,2,1,30,4,0,75,12,5,1,.260,.323,.371,.694,.320,94.6,1.66,0.43
215,±èÀÎÅÂ21µÎRF,95,329,268,43,71,13,1,7,107,35,0,1,51,2,0,52,9,5,3,.265,.383,.399,.782,.365,119.2,1.64,0.86
216,Á¤±Ù¿ì18ÇÑ2B,102,425,375,63,114,24,1,11,173,57,6,5,39,7,1,43,12,1,3,.304,.377,.461,.839,.369,111.8,1.64,2.90
217,±è°­¹Î19SCF,127,460,422,54,114,14,2,8,156,50,15,8,31,4,3,103,2,0,3,.270,.324,.370,.694,.321,90.7,1.63,-0.67
218,Àå¼º¿ì21KC,89,321,271,38,66,10,0,13,115,52,0,2,40,3,3,47,12,6,1,.244,.346,.424,.770,.348,101.9,1.62,1.52
219,¹Úº´È£20Å°1B,91,373,302,54,67,6,0,20,133,62,0,0,55,8,2,110,8,0,8,.222,.349,.440,.789,.352,112.3,1.62,-0.03
220,¼Û±¤¹Î18ÇÑ3B,113,460,434,63,129,24,0,18,207,79,4,4,18,4,0,93,13,0,4,.297,.328,.477,.805,.346,96.4,1.58,1.16
221,¸¶Â÷µµ21·ÔSS,95,380,326,58,87,16,0,4,115,39,8,4,46,2,1,45,8,1,5,.267,.356,.353,.709,.338,94.5,1.58,-0.96
222,ÀÌÁö¿µ18»ïC,90,203,178,31,61,10,0,2,77,19,0,0,15,4,1,27,3,6,0,.343,.406,.433,.839,.368,113.5,1.58,0.40
223,¼Û¼º¹®18³Ø2B,78,238,211,35,66,19,0,7,106,45,2,4,24,0,0,49,2,2,1,.313,.381,.502,.884,.382,122.2,1.55,1.34
224,³ª¼º¹ü19NCF,23,106,93,19,34,12,1,4,60,14,2,1,12,1,0,26,2,0,0,.366,.443,.645,1.089,.483,201.0,1.54,0.52
225,°¡¸£½Ã¾Æ18L3B,50,206,183,27,62,9,0,8,95,34,5,0,9,8,0,25,3,0,6,.339,.384,.519,.903,.388,131.4,1.53,0.32
226,Á¶¿ëÈ£20KLF,130,477,405,73,120,15,0,0,135,32,12,3,63,2,1,83,6,5,2,.296,.392,.333,.725,.347,99.7,1.53,1.85
227,ÀÌÀç¿ø21SC,79,232,205,21,60,13,0,3,82,21,0,2,22,2,2,32,7,3,0,.293,.367,.400,.767,.355,108.8,1.51,-0.00
228,¼Õ¾Æ¼·21·ÔRF,100,443,394,59,119,18,1,1,142,37,9,5,45,1,2,50,9,3,0,.302,.375,.360,.735,.351,102.9,1.48,0.79
229,¹Ú°è¹ü21µÎ2B,77,228,195,30,54,10,0,4,76,31,2,3,24,6,0,47,2,2,1,.277,.372,.390,.761,.360,115.1,1.46,0.84
230,¼Û¿ìÇö21Å°RF,69,282,250,34,74,17,2,3,104,42,1,1,28,2,1,49,4,1,1,.296,.370,.416,.786,.367,115.3,1.44,0.62
231,ÇãÁ¤Çù20Å°LF,109,352,306,44,83,12,0,10,125,43,0,0,40,2,0,71,6,3,1,.271,.358,.409,.767,.351,108.4,1.43,1.49
232,±èÅÂ¿¬21ÇÑ3B,26,110,85,14,31,5,0,1,39,14,4,2,18,4,0,19,1,0,3,.365,.482,.459,.941,.445,169.2,1.41,1.39
233,½ºÅ©·°½º18N1B,142,571,501,75,129,35,0,26,242,97,3,2,55,12,2,144,14,0,3,.257,.343,.483,.826,.355,103.4,1.41,2.57
234,ÀÌ¿ø¼®21»ï3B,97,356,293,35,74,14,0,8,112,52,1,0,45,10,2,52,9,1,7,.253,.363,.382,.746,.351,102.1,1.39,0.34
235,¹Ú¿ëÅÃ18LDH,134,583,524,89,159,38,1,15,244,76,3,3,47,5,0,107,21,0,7,.303,.362,.466,.828,.362,112.7,1.38,2.63
236,°­°æÇÐ18ÇÑ2B,77,289,245,42,68,11,1,5,96,27,6,3,38,4,0,59,7,1,1,.278,.382,.392,.774,.353,101.4,1.38,0.77
237,ÃÖÇ×18S2B,98,257,222,38,65,12,1,7,100,35,2,2,25,8,0,57,1,2,0,.293,.384,.450,.835,.370,113.0,1.37,0.05
238,¾ç¼®È¯18L3B,140,519,483,53,127,27,0,22,220,82,2,2,24,6,0,81,9,1,5,.263,.303,.455,.759,.324,89.6,1.37,0.37
239,ÀÌ¸í±â18KRF,120,502,447,88,135,28,6,4,187,42,12,5,40,3,3,64,5,11,1,.302,.363,.418,.781,.340,95.0,1.35,0.16
240,»ì¶óµð³ë20»ïLF,44,163,132,26,37,8,0,6,63,27,6,1,23,7,0,41,3,0,1,.280,.411,.477,.888,.405,136.3,1.35,0.53
241,±è¼ºÇö21S2B,94,246,211,23,58,11,0,5,84,30,5,2,28,0,0,27,7,3,4,.275,.354,.398,.752,.348,103.5,1.35,0.60
242,Àª½¼19·Ô3B,68,268,231,21,58,15,0,9,100,37,0,2,31,5,0,60,8,0,1,.251,.351,.433,.784,.361,118.4,1.35,0.73
243,±ÇÈñµ¿19NRF,116,413,348,37,89,17,0,6,124,41,3,0,50,7,1,60,10,5,3,.256,.358,.356,.714,.334,100.0,1.33,0.18
244,À¯°­³²21LC,92,319,286,23,70,11,0,7,102,45,2,0,18,11,1,49,9,2,2,.245,.312,.357,.669,.313,85.8,1.33,-0.57
245,ÀÌ¸í±â21NLF,56,232,191,30,56,12,0,2,74,14,5,3,37,1,0,27,2,3,0,.293,.411,.387,.798,.380,124.3,1.32,1.03
246,¹®º¸°æ21L1B,69,238,198,28,47,9,1,8,82,32,2,1,37,0,0,42,4,1,2,.237,.354,.414,.769,.357,117.1,1.32,0.91
247,Àå¼º¿ì19KC,126,412,365,25,96,7,0,7,124,41,0,1,35,2,2,86,11,4,6,.263,.326,.340,.666,.309,83.6,1.32,-1.85
248,¿ÀÀ±¼®20·Ô2B,63,197,168,31,50,7,1,4,71,32,2,1,24,2,0,47,2,1,2,.298,.388,.423,.810,.373,116.9,1.31,0.44
249,¿ÀÀçÀÏ21»ï1B,86,346,299,41,80,13,0,17,144,64,0,0,43,0,6,82,4,0,4,.268,.356,.482,.837,.374,114.8,1.30,1.88
250,ÀÌÅÃ±Ù18³ØDH,104,356,308,40,95,25,1,4,134,52,1,0,32,9,0,44,14,3,4,.308,.385,.435,.820,.365,109.9,1.30,1.04
251,ÀÌ¿ø¼®20»ï3B,120,463,399,45,107,17,0,13,163,74,0,1,49,2,1,81,7,1,12,.268,.342,.409,.751,.339,94.3,1.29,0.24
252,ÃÖÁöÈÆ21SCF,99,380,324,56,80,13,3,4,111,25,18,4,42,6,0,48,6,5,3,.247,.341,.343,.684,.325,88.9,1.28,-0.33
253,±ÇÈñµ¿21NLF,55,171,133,25,35,3,0,8,62,26,2,0,29,5,1,24,4,1,3,.263,.406,.466,.872,.399,134.3,1.28,0.63
254,¹Ú¼¼Çõ18µÎC,89,194,170,37,48,12,0,3,69,22,5,0,16,4,0,55,0,3,1,.282,.356,.406,.762,.337,95.0,1.26,-0.66
255,¹Ú¼®¹Î21N3B,59,205,171,27,44,8,0,10,82,41,0,0,27,2,1,43,8,3,2,.257,.361,.480,.841,.376,118.9,1.26,0.01
256,¹ÚÇØ¹Î19»ïCF,144,581,506,64,121,16,7,5,166,44,24,7,58,2,0,82,4,12,3,.239,.318,.328,.646,.300,76.8,1.26,-1.36
257,±èÇå°ï21»ïLF,84,257,223,26,68,6,1,3,85,16,3,2,24,5,0,30,6,2,3,.305,.380,.381,.762,.361,110.6,1.24,-0.78
258,¹ÝÁî20ÇÑ1B,74,319,283,38,75,17,1,9,121,42,2,1,27,7,1,81,4,0,2,.265,.342,.428,.769,.348,104.6,1.24,0.31
259,À¯¹Î»ó19K1B,61,202,175,23,51,15,0,5,81,26,0,0,23,4,0,35,6,0,0,.291,.386,.463,.849,.391,139.6,1.23,0.46
260,ÇÑÀ¯¼¶20SRF,62,231,193,35,48,5,0,15,98,31,2,0,30,6,1,49,8,0,2,.249,.364,.508,.871,.383,121.0,1.23,0.56
261,Æä°Ô·Î19L1B,52,214,199,24,57,10,0,9,94,44,2,1,12,2,0,63,2,0,1,.286,.332,.472,.804,.364,127.3,1.22,1.80
262,ÀÌÁö¿µ20Å°C,99,284,258,22,81,10,2,0,95,36,1,1,18,4,1,26,8,3,1,.314,.367,.368,.735,.341,98.3,1.20,0.44
263,ÃÊÀÌ½º18³ØRF,96,397,349,55,90,19,0,17,160,61,2,1,33,10,2,79,4,0,5,.258,.335,.458,.794,.341,97.2,1.19,0.78
264,·Î¸Æ21S1B,97,397,332,52,76,10,0,19,143,51,1,0,58,4,1,75,9,0,3,.229,.348,.431,.778,.359,108.0,1.16,-0.10
265,±èº´Èñ21K3B,34,69,51,16,15,3,0,5,33,13,3,0,13,3,0,14,0,2,0,.294,.463,.647,1.110,.475,186.9,1.13,1.10
266,ÀÌ´ëÈ£21·ÔDH,75,313,282,30,82,7,0,15,134,60,0,0,24,4,2,34,10,0,3,.291,.351,.475,.827,.375,118.8,1.12,1.34
267,±èÈ£Àç20»ï3B,65,138,118,19,38,5,0,1,46,10,2,0,16,3,0,19,1,1,0,.322,.416,.390,.806,.381,124.0,1.11,0.03
268,Á¤¼öºó18µÎCF,26,112,98,20,36,2,1,2,46,23,5,2,11,1,0,13,1,0,2,.367,.429,.469,.898,.402,136.7,1.06,0.89
269,»÷Áî18³ØRF,25,93,86,17,27,1,1,12,66,37,0,1,6,0,0,27,2,0,1,.314,.355,.767,1.122,.445,171.5,1.05,2.12
270,±è¼º¿í18NCF,111,358,323,49,84,13,2,13,140,45,11,2,29,1,0,64,10,2,3,.260,.320,.433,.754,.326,86.0,1.04,0.42
271,¼Û±¤¹Î19ÇÑ3B,122,486,454,50,119,21,0,7,161,51,8,2,21,3,0,91,18,3,5,.262,.296,.355,.651,.300,80.0,1.04,-1.60
272,Àüº´¿ì18·Ô3B,27,77,66,18,24,7,0,3,40,13,3,0,9,1,0,24,1,0,1,.364,.442,.606,1.048,.447,163.5,1.02,0.75
273,¹Ú°è¹ü19»ïSS,58,204,168,26,43,8,1,4,65,25,5,1,22,5,0,45,7,6,3,.256,.354,.387,.740,.336,99.9,1.01,-0.34
274,ÀÌ´ëÈ£20·ÔDH,144,611,542,67,158,27,0,20,245,110,1,0,53,5,9,68,21,0,11,.292,.354,.452,.806,.357,105.8,1.01,3.56
275,±èÇý¼º18³Ø2B,136,473,430,79,116,15,6,5,158,45,31,6,33,5,1,119,6,3,2,.270,.328,.367,.695,.311,75.0,1.00,0.25
276,±è¹ÎÇõ19KLF,127,521,466,68,131,10,1,0,143,32,22,10,32,13,0,61,8,5,5,.281,.341,.307,.648,.309,82.7,1.00,-0.27
277,³ªÁÖÈ¯18SSS,119,420,362,54,95,24,0,12,155,56,5,6,38,5,0,66,2,13,2,.262,.339,.428,.767,.328,85.9,0.98,0.65
278,ÀÌº´±Ô20·Ô1B,53,194,164,28,45,4,0,9,76,32,0,0,28,1,0,55,5,0,1,.274,.381,.463,.845,.383,123.6,0.96,0.91
279,±è¹Î¼º20L3B,87,333,297,29,79,20,0,5,114,47,2,1,24,4,2,66,8,4,4,.266,.325,.384,.709,.319,87.7,0.96,-0.30
280,ÀÌÇüÁ¾21LLF,71,248,213,31,49,11,0,9,87,32,3,1,30,4,1,55,8,1,0,.230,.336,.408,.745,.345,109.8,0.96,-2.20
281,±èÁØÅÂ20·ÔC,128,369,306,38,69,12,2,5,100,43,2,2,56,1,0,64,5,3,3,.225,.344,.327,.671,.318,81.7,0.96,0.11
282,¸ðÃ¢¹Î18N3B,81,314,287,38,80,10,1,17,143,62,2,3,21,2,0,51,10,0,4,.279,.328,.498,.826,.351,101.4,0.95,1.70
283,¾Æ¼ö¾ÆÇì19·Ô2B,48,194,163,34,41,5,4,2,60,21,3,2,26,1,1,24,0,3,1,.252,.356,.368,.724,.334,102.2,0.94,0.63
284,±ÇÈñµ¿18NLF,104,391,343,43,97,19,1,8,142,57,1,3,35,4,2,58,5,5,4,.283,.352,.414,.766,.335,92.3,0.92,1.78
285,Á¤ÈÆ18·Ô1B,91,194,174,33,53,10,1,7,86,26,4,2,16,1,1,39,4,0,3,.305,.361,.494,.855,.367,110.7,0.91,-0.31
286,¹Ú¼®¹Î18NDH,103,375,318,40,81,14,1,16,145,55,1,0,39,15,4,80,11,0,3,.255,.360,.456,.816,.354,103.4,0.91,1.51
287,Á¶¼Á19L1B,55,217,197,17,54,3,0,9,84,36,0,1,14,4,0,46,3,0,2,.274,.332,.426,.758,.347,115.6,0.91,0.07
288,¹ÚÂùÈ£19K3B,133,541,504,60,131,15,4,2,160,49,39,6,26,4,0,83,8,5,2,.260,.300,.317,.618,.289,68.7,0.91,-0.19
289,Ã¤ÅÂÀÎ18·Ô1B,130,420,376,44,110,18,0,15,173,75,0,0,34,5,3,107,10,1,4,.293,.356,.460,.816,.353,101.8,0.90,1.62
290,¿À½ÂÅÃ19K1B,62,199,187,36,52,11,1,4,77,22,9,0,11,0,0,39,4,0,1,.278,.317,.412,.728,.334,101.2,0.89,0.48
291,À¯ÇÑÁØ21KDH,76,231,194,14,58,11,0,1,72,27,1,0,29,6,5,21,8,0,2,.299,.403,.371,.774,.367,113.4,0.88,0.85
292,ÀÌÁö¿µ19Å°C,106,331,308,40,87,5,1,1,97,39,5,1,15,1,1,28,14,6,1,.282,.317,.315,.632,.293,73.3,0.88,-1.51
293,Ã¤ÅÂÀÎ20SDH,70,188,159,11,45,5,0,7,71,24,0,0,29,0,2,33,4,0,0,.283,.394,.447,.840,.382,122.7,0.87,-0.38
294,Á¤ÁÖÇö18L2B,115,339,303,48,79,14,2,6,115,31,18,3,27,2,0,68,9,6,1,.261,.324,.380,.704,.310,76.9,0.85,1.63
295,³ë½ÃÈ¯20ÇÑ3B,107,387,346,46,76,18,2,12,134,43,0,1,33,6,1,116,8,1,1,.220,.298,.387,.685,.310,78.7,0.85,-2.10
296,ÇÏÁÖ¼®20ÇÑSS,72,281,262,22,75,11,0,2,92,32,4,1,13,2,0,66,3,2,2,.286,.323,.351,.674,.312,81.2,0.85,-0.50
297,±è¹Î½Ä18KC,125,365,310,53,76,9,3,6,109,37,5,2,39,3,0,63,8,11,2,.245,.333,.352,.685,.304,71.1,0.84,-0.92
298,Á¶¿ëÈ£21KLF,102,410,333,61,82,11,1,0,95,41,10,7,67,2,0,63,7,3,5,.246,.371,.285,.656,.327,87.4,0.83,0.67
299,±è°­¹Î21SCF,89,207,178,35,43,9,1,8,78,23,2,3,20,5,1,38,2,3,1,.242,.333,.438,.772,.348,101.7,0.82,-0.32
300,¹Úº´È£21Å°1B,85,355,294,37,61,17,0,14,120,52,0,1,40,14,2,99,6,0,7,.207,.324,.408,.732,.336,99.7,0.81,-0.68
301,Àå¼º¿ì18KC,127,393,356,41,92,13,0,13,144,48,1,1,32,2,0,82,8,1,2,.258,.321,.404,.726,.320,79.1,0.79,-1.09
302,±è±Ô¹Î18³ØLF,104,336,298,47,88,9,2,3,110,40,8,4,27,6,0,89,3,1,4,.295,.361,.369,.730,.333,90.1,0.79,1.73
303,ÃßÀçÇö21·ÔCF,67,226,199,28,55,12,0,4,79,21,2,3,20,4,0,42,3,3,0,.276,.354,.397,.751,.351,102.1,0.78,-0.27
304,±è¹Î½Ä21KC,72,211,172,23,40,7,0,3,56,17,0,0,32,3,1,35,2,3,1,.233,.361,.326,.686,.330,90.6,0.78,0.47
305,¹Ú¹Î¿ì21N2B,50,215,180,30,47,5,3,1,61,18,12,3,22,7,0,23,4,4,2,.261,.360,.339,.699,.333,92.5,0.77,-0.50
306,ÃÖÀçÈÆ18ÇÑC,128,341,298,36,78,17,0,1,98,27,8,0,20,15,0,61,8,6,2,.262,.337,.329,.666,.305,71.1,0.77,-0.34
307,±è¿õºó20Å°1B,73,235,207,25,57,13,0,8,94,31,1,0,17,3,1,65,6,5,3,.275,.335,.454,.789,.344,104.8,0.77,0.14
308,±è¼ºÇö18S2B,135,462,415,51,115,19,1,4,148,55,6,2,29,9,0,42,19,6,3,.277,.336,.357,.692,.312,75.6,0.77,-0.24
309,Á¤±Ù¿ì19ÇÑCF,88,305,277,37,77,10,1,3,98,30,8,5,20,4,1,43,11,3,1,.278,.334,.354,.688,.320,94.3,0.75,-0.50
310,ÃÖÁÖÈ¯19µÎ2B,87,325,285,27,79,13,0,4,104,47,0,0,28,1,0,35,10,0,11,.277,.332,.365,.697,.323,95.2,0.75,-0.87
311,Á¤Àº¿ø20ÇÑ2B,78,298,250,27,61,9,1,2,78,25,1,1,40,5,0,40,4,2,1,.244,.358,.312,.670,.324,88.3,0.74,-0.44
312,±èÀçÀ¯21·ÔCF,66,129,117,20,37,5,0,1,45,13,4,0,7,3,0,19,1,2,0,.316,.370,.385,.755,.355,105.6,0.74,0.40
313,°­·ÎÇÑ19·Ô2B,104,306,288,38,69,15,6,4,108,25,7,1,13,3,0,107,3,1,1,.240,.279,.375,.654,.298,77.1,0.74,-0.08
314,À±¼®¹Î18K1B,132,509,460,58,127,22,0,19,206,60,4,1,40,4,2,69,17,2,3,.276,.337,.448,.785,.340,92.2,0.74,0.31
315,¿ÀÀ±¼®21·ÔK1B,63,146,122,20,32,8,0,4,52,11,3,0,19,1,1,33,3,4,0,.262,.366,.426,.792,.358,107.6,0.73,-1.31
316,Àüº´¿ì20Å°3B,117,394,351,43,82,13,3,8,125,47,7,0,37,2,0,98,7,2,2,.234,.309,.356,.665,.306,77.7,0.71,0.18
317,ÀÌÃ¢Áø20KCF,22,99,88,19,29,8,1,0,39,7,0,1,10,1,0,17,2,0,0,.330,.404,.443,.847,.392,130.3,0.71,0.16
318,±èÁÖÂù19K1B,100,363,337,35,101,16,0,3,126,32,3,1,17,5,3,44,6,1,3,.300,.340,.374,.714,.330,97.0,0.71,-0.46
319,Á¤¼ºÈÆ18K1B,88,205,183,22,54,11,0,4,77,28,0,1,16,5,1,49,5,0,1,.295,.366,.421,.787,.351,102.7,0.70,-0.32
320,¼Û¼º¹®21Å°2B,30,129,114,18,30,6,0,4,48,20,0,0,13,0,0,19,0,2,0,.263,.339,.421,.760,.348,106.0,0.68,0.37
321,ÅÍÄ¿21KLF,90,395,339,30,82,15,1,5,114,38,0,0,48,7,1,46,9,0,1,.242,.347,.336,.683,.330,91.0,0.68,-0.19
322,·ùÁöÇõ18µÎSS,128,280,228,52,61,7,0,1,71,29,7,2,29,10,0,43,3,11,2,.268,.372,.311,.683,.314,77.7,0.67,1.15
323,±è¼ºÇö20SSS,131,385,337,34,92,9,1,2,109,24,1,1,30,5,0,26,10,11,2,.273,.340,.323,.663,.307,75.7,0.66,-1.30
324,¼­°ÇÃ¢18³ØDH,37,160,141,28,48,12,0,0,60,15,2,0,12,3,0,19,1,2,2,.340,.399,.426,.824,.369,112.0,0.66,1.21
